CHEBI_GO_SO_EXT:enzyme	SO:0001185
CHEBI_SO_EXT:polypeptide	SO:0000104
CHEBI_SO_EXT:proline	SO:0001439
CHEBI_SO_EXT:riboprobe	SO:0000051	SO:0000356
CHEBI_SO_EXT:RNA	SO:0000356
CHEBI_SO_EXT:rRNA	SO:0000252
CHEBI_SO_EXT:selenocysteine	SO:0001455
CHEBI_SO_EXT:serine	SO:0001444
CHEBI_SO_EXT:single_stranded_DNA	SO:0000352	SO:0000984
CHEBI_SO_EXT:threonine	SO:0001445
CHEBI_SO_EXT:tripeptide	SO:0001407
CHEBI_SO_EXT:tRNA	SO:0000253
CHEBI_SO_EXT:tRNA_Trp	SO:0000271
CHEBI_SO_EXT:tryptophan	SO:0001440
CHEBI_SO_EXT:tyrosine	SO:0001446
CHEBI_SO_EXT:valine	SO:0001436
GO_SO_EXT:centromere_or_centromeric_region_or_centromeric_orientation	SO:0000577
GO_SO_EXT:chromosomal_part_or_position_or_region_or_site	SO:0000830
GO_SO_EXT:chromosome	SO:0000340
GO_SO_EXT:frameshift_entity_or_process	SO:0000865
GO_SO_EXT:post_translational_modification_entity_or_process	SO:0001089
GO_SO_EXT:sequence_rearrangement_entity_or_process	SO:0002155	SO:0002154	SO:0002062	SO:0001872
GO_SO_EXT:sequence_rearrangement_process	SO:0002155	SO:0002154	SO:0002062	SO:0001872
GO_SO_EXT:sequence_transposition_entity_or_process	SO:0000453
GO_SO_EXT:sequence_transposition_process	SO:0000453
GO_SO_EXT:telomere_or_telomeric_region_or_telomeric_orientation	SO:0000624
GO_SO_EXT:transcriptional_start_entity_or_process	SO:0000315
GO_SO_EXT:transcriptional_stop_entity_or_process	SO:0000141
GO_SO_EXT:translational_start_entity_or_process	SO:0000318
GO_SO_EXT:translational_stop_entity_or_process	SO:0000319
OBI_SO_EXT:gene_or_genetic_investigation_or_genetic_process	SO:0000704
PATO_SO_EXT:aneuploidy	SO:0000054
SO_EXT:0000001	SO:0000001
SO_EXT:0000002	SO:0000002
SO_EXT:0000003	SO:0000003
SO_EXT:0000004	SO:0000004
SO_EXT:0000005	SO:0000005
SO_EXT:0000006	SO:0000006
SO_EXT:0000007	SO:0000007
SO_EXT:0000012	SO:0000012
SO_EXT:0000013	SO:0000013
SO_EXT:0000014	SO:0000014
SO_EXT:0000015	SO:0000015
SO_EXT:0000016	SO:0000016
SO_EXT:0000017	SO:0000017
SO_EXT:0000018	SO:0000018
SO_EXT:0000020	SO:0000020
SO_EXT:0000021	SO:0000021
SO_EXT:0000022	SO:0000022
SO_EXT:0000023	SO:0000023
SO_EXT:0000024	SO:0000024
SO_EXT:0000025	SO:0000025
SO_EXT:0000026	SO:0000026
SO_EXT:0000027	SO:0000027
SO_EXT:0000028	SO:0000028
SO_EXT:0000029	SO:0000029
SO_EXT:0000030	SO:0000030
SO_EXT:0000031	SO:0000031
SO_EXT:0000032	SO:0000032
SO_EXT:0000033	SO:0000033
SO_EXT:0000034	SO:0000034
SO_EXT:0000035	SO:0000035
SO_EXT:0000036	SO:0000036
SO_EXT:0000037	SO:0000037
SO_EXT:0000039	SO:0000039
SO_EXT:0000040	SO:0000040
SO_EXT:0000043	SO:0000043
SO_EXT:0000044	SO:0000044
SO_EXT:0000051	SO:0000051
SO_EXT:0000054	SO:0000054
SO_EXT:0000055	SO:0000055
SO_EXT:0000056	SO:0000056
SO_EXT:0000057	SO:0000057
SO_EXT:0000059	SO:0000059
SO_EXT:0000060	SO:0000060
SO_EXT:0000061	SO:0000061
SO_EXT:0000062	SO:0000062
SO_EXT:0000063	SO:0000063
SO_EXT:0000065	SO:0000065
SO_EXT:0000078	SO:0000078
SO_EXT:0000079	SO:0000079
SO_EXT:0000087	SO:0000087
SO_EXT:0000088	SO:0000088
SO_EXT:0000089	SO:0000089
SO_EXT:0000090	SO:0000090
SO_EXT:0000091	SO:0000091
SO_EXT:0000092	SO:0000092
SO_EXT:0000093	SO:0000093
SO_EXT:0000094	SO:0000094
SO_EXT:0000095	SO:0000095
SO_EXT:0000096	SO:0000096
SO_EXT:0000097	SO:0000097
SO_EXT:0000098	SO:0000098
SO_EXT:0000099	SO:0000099
SO_EXT:0000100	SO:0000100
SO_EXT:0000101	SO:0000101
SO_EXT:0000102	SO:0000102
SO_EXT:0000103	SO:0000103
SO_EXT:0000104	SO:0000104
SO_EXT:0000105	SO:0000105
SO_EXT:0000107	SO:0000107
SO_EXT:0000108	SO:0000108
SO_EXT:0000110	SO:0000110
SO_EXT:0000111	SO:0000111
SO_EXT:0000112	SO:0000112
SO_EXT:0000113	SO:0000113
SO_EXT:0000114	SO:0000114
SO_EXT:0000118	SO:0000118
SO_EXT:0000120	SO:0000120
SO_EXT:0000121	SO:0000121
SO_EXT:0000122	SO:0000122
SO_EXT:0000127	SO:0000127
SO_EXT:0000128	SO:0000128
SO_EXT:0000129	SO:0000129
SO_EXT:0000132	SO:0000132
SO_EXT:0000138	SO:0000138
SO_EXT:0000139	SO:0000139
SO_EXT:0000140	SO:0000140
SO_EXT:0000141	SO:0000141
SO_EXT:0000142	SO:0000142
SO_EXT:0000143	SO:0000143
SO_EXT:0000145	SO:0000145
SO_EXT:0000147	SO:0000147
SO_EXT:0000148	SO:0000148
SO_EXT:0000149	SO:0000149
SO_EXT:0000150	SO:0000150
SO_EXT:0000151	SO:0000151
SO_EXT:0000152	SO:0000152
SO_EXT:0000153	SO:0000153
SO_EXT:0000154	SO:0000154
SO_EXT:0000155	SO:0000155
SO_EXT:0000156	SO:0000156
SO_EXT:0000157	SO:0000157
SO_EXT:0000158	SO:0000158
SO_EXT:0000159	SO:0000159
SO_EXT:0000161	SO:0000161
SO_EXT:0000162	SO:0000162
SO_EXT:0000163	SO:0000163
SO_EXT:0000164	SO:0000164
SO_EXT:0000165	SO:0000165
SO_EXT:0000166	SO:0000166
SO_EXT:0000167	SO:0000167
SO_EXT:0000169	SO:0000169
SO_EXT:0000170	SO:0000170
SO_EXT:0000171	SO:0000171
SO_EXT:0000172	SO:0000172
SO_EXT:0000173	SO:0000173
SO_EXT:0000174	SO:0000174
SO_EXT:0000175	SO:0000175
SO_EXT:0000176	SO:0000176
SO_EXT:0000177	SO:0000177
SO_EXT:0000178	SO:0000178
SO_EXT:0000179	SO:0000179
SO_EXT:0000180	SO:0000180
SO_EXT:0000181	SO:0000181
SO_EXT:0000182	SO:0000182
SO_EXT:0000183	SO:0000183
SO_EXT:0000184	SO:0000184
SO_EXT:0000185	SO:0000185
SO_EXT:0000186	SO:0000186
SO_EXT:0000188	SO:0000188
SO_EXT:0000189	SO:0000189
SO_EXT:0000190	SO:0000190
SO_EXT:0000191	SO:0000191
SO_EXT:0000192	SO:0000192
SO_EXT:0000193	SO:0000193
SO_EXT:0000194	SO:0000194
SO_EXT:0000195	SO:0000195
SO_EXT:0000196	SO:0000196
SO_EXT:0000197	SO:0000197
SO_EXT:0000198	SO:0000198
SO_EXT:0000199	SO:0000199
SO_EXT:0000200	SO:0000200
SO_EXT:0000201	SO:0000201
SO_EXT:0000202	SO:0000202
SO_EXT:0000203	SO:0000203
SO_EXT:0000204	SO:0000204
SO_EXT:0000205	SO:0000205
SO_EXT:0000206	SO:0000206
SO_EXT:0000207	SO:0000207
SO_EXT:0000208	SO:0000208
SO_EXT:0000209	SO:0000209
SO_EXT:0000210	SO:0000210
SO_EXT:0000211	SO:0000211
SO_EXT:0000212	SO:0000212
SO_EXT:0000213	SO:0000213
SO_EXT:0000214	SO:0000214
SO_EXT:0000215	SO:0000215
SO_EXT:0000216	SO:0000216
SO_EXT:0000217	SO:0000217
SO_EXT:0000218	SO:0000218
SO_EXT:0000219	SO:0000219
SO_EXT:0000220	SO:0000220
SO_EXT:0000221	SO:0000221
SO_EXT:0000222	SO:0000222
SO_EXT:0000223	SO:0000223
SO_EXT:0000224	SO:0000224
SO_EXT:0000225	SO:0000225
SO_EXT:0000226	SO:0000226
SO_EXT:0000227	SO:0000227
SO_EXT:0000228	SO:0000228
SO_EXT:0000229	SO:0000229
SO_EXT:0000230	SO:0000230
SO_EXT:0000231	SO:0000231
SO_EXT:0000232	SO:0000232
SO_EXT:0000233	SO:0000233
SO_EXT:0000234	SO:0000234
SO_EXT:0000235	SO:0000235
SO_EXT:0000236	SO:0000236
SO_EXT:0000238	SO:0000238
SO_EXT:0000239	SO:0000239
SO_EXT:0000240	SO:0000240
SO_EXT:0000241	SO:0000241
SO_EXT:0000242	SO:0000242
SO_EXT:0000243	SO:0000243
SO_EXT:0000248	SO:0000248
SO_EXT:0000250	SO:0000250
SO_EXT:0000252	SO:0000252
SO_EXT:0000253	SO:0000253
SO_EXT:0000254	SO:0000254
SO_EXT:0000255	SO:0000255
SO_EXT:0000256	SO:0000256
SO_EXT:0000257	SO:0000257
SO_EXT:0000258	SO:0000258
SO_EXT:0000259	SO:0000259
SO_EXT:0000260	SO:0000260
SO_EXT:0000261	SO:0000261
SO_EXT:0000262	SO:0000262
SO_EXT:0000263	SO:0000263
SO_EXT:0000264	SO:0000264
SO_EXT:0000265	SO:0000265
SO_EXT:0000266	SO:0000266
SO_EXT:0000267	SO:0000267
SO_EXT:0000268	SO:0000268
SO_EXT:0000269	SO:0000269
SO_EXT:0000270	SO:0000270
SO_EXT:0000271	SO:0000271
SO_EXT:0000272	SO:0000272
SO_EXT:0000273	SO:0000273
SO_EXT:0000274	SO:0000274
SO_EXT:0000275	SO:0000275
SO_EXT:0000276	SO:0000276
SO_EXT:0000278	SO:0000278
SO_EXT:0000279	SO:0000279
SO_EXT:0000280	SO:0000280
SO_EXT:0000281	SO:0000281
SO_EXT:0000282	SO:0000282
SO_EXT:0000283	SO:0000283
SO_EXT:0000285	SO:0000285
SO_EXT:0000286	SO:0000286
SO_EXT:0000287	SO:0000287
SO_EXT:0000288	SO:0000288
SO_EXT:0000289	SO:0000289
SO_EXT:0000290	SO:0000290
SO_EXT:0000291	SO:0000291
SO_EXT:0000293	SO:0000293
SO_EXT:0000294	SO:0000294
SO_EXT:0000295	SO:0000295
SO_EXT:0000296	SO:0000296
SO_EXT:0000297	SO:0000297
SO_EXT:0000298	SO:0000298
SO_EXT:0000299	SO:0000299
SO_EXT:0000300	SO:0000300
SO_EXT:0000301	SO:0000301
SO_EXT:0000302	SO:0000302
SO_EXT:0000303	SO:0000303
SO_EXT:0000305	SO:0000305
SO_EXT:0000306	SO:0000306
SO_EXT:0000307	SO:0000307
SO_EXT:0000313	SO:0000313
SO_EXT:0000314	SO:0000314
SO_EXT:0000315	SO:0000315
SO_EXT:0000316	SO:0000316
SO_EXT:0000317	SO:0000317
SO_EXT:0000318	SO:0000318
SO_EXT:0000319	SO:0000319
SO_EXT:0000320	SO:0000320
SO_EXT:0000321	SO:0000321
SO_EXT:0000322	SO:0000322
SO_EXT:0000323	SO:0000323
SO_EXT:0000324	SO:0000324
SO_EXT:0000325	SO:0000325
SO_EXT:0000326	SO:0000326
SO_EXT:0000327	SO:0000327
SO_EXT:0000328	SO:0000328
SO_EXT:0000329	SO:0000329
SO_EXT:0000330	SO:0000330
SO_EXT:0000331	SO:0000331
SO_EXT:0000332	SO:0000332
SO_EXT:0000333	SO:0000333
SO_EXT:0000334	SO:0000334
SO_EXT:0000335	SO:0000335
SO_EXT:0000336	SO:0000336
SO_EXT:0000337	SO:0000337
SO_EXT:0000338	SO:0000338
SO_EXT:0000339	SO:0000339
SO_EXT:0000340	SO:0000340
SO_EXT:0000341	SO:0000341
SO_EXT:0000342	SO:0000342
SO_EXT:0000343	SO:0000343
SO_EXT:0000344	SO:0000344
SO_EXT:0000345	SO:0000345
SO_EXT:0000346	SO:0000346
SO_EXT:0000347	SO:0000347
SO_EXT:0000349	SO:0000349
SO_EXT:0000350	SO:0000350
SO_EXT:0000353	SO:0000353
SO_EXT:0000354	SO:0000354
SO_EXT:0000355	SO:0000355
SO_EXT:0000360	SO:0000360
SO_EXT:0000363	SO:0000363
SO_EXT:0000364	SO:0000364
SO_EXT:0000365	SO:0000365
SO_EXT:0000366	SO:0000366
SO_EXT:0000367	SO:0000367
SO_EXT:0000368	SO:0000368
SO_EXT:0000370	SO:0000370
SO_EXT:0000371	SO:0000371
SO_EXT:0000372	SO:0000372
SO_EXT:0000373	SO:0000373
SO_EXT:0000374	SO:0000374
SO_EXT:0000375	SO:0000375
SO_EXT:0000376	SO:0000376
SO_EXT:0000377	SO:0000377
SO_EXT:0000378	SO:0000378
SO_EXT:0000379	SO:0000379
SO_EXT:0000380	SO:0000380
SO_EXT:0000381	SO:0000381
SO_EXT:0000382	SO:0000382
SO_EXT:0000383	SO:0000383
SO_EXT:0000384	SO:0000384
SO_EXT:0000385	SO:0000385
SO_EXT:0000386	SO:0000386
SO_EXT:0000387	SO:0000387
SO_EXT:0000388	SO:0000388
SO_EXT:0000389	SO:0000389
SO_EXT:0000390	SO:0000390
SO_EXT:0000391	SO:0000391
SO_EXT:0000392	SO:0000392
SO_EXT:0000393	SO:0000393
SO_EXT:0000394	SO:0000394
SO_EXT:0000395	SO:0000395
SO_EXT:0000396	SO:0000396
SO_EXT:0000397	SO:0000397
SO_EXT:0000398	SO:0000398
SO_EXT:0000399	SO:0000399
SO_EXT:0000403	SO:0000403
SO_EXT:0000404	SO:0000404
SO_EXT:0000405	SO:0000405
SO_EXT:0000406	SO:0000406
SO_EXT:0000407	SO:0000407
SO_EXT:0000409	SO:0000409
SO_EXT:0000410	SO:0000410
SO_EXT:0000411	SO:0000411
SO_EXT:0000412	SO:0000412
SO_EXT:0000413	SO:0000413
SO_EXT:0000417	SO:0000417
SO_EXT:0000418	SO:0000418
SO_EXT:0000419	SO:0000419
SO_EXT:0000420	SO:0000420
SO_EXT:0000421	SO:0000421
SO_EXT:0000422	SO:0000422
SO_EXT:0000423	SO:0000423
SO_EXT:0000424	SO:0000424
SO_EXT:0000425	SO:0000425
SO_EXT:0000426	SO:0000426
SO_EXT:0000427	SO:0000427
SO_EXT:0000428	SO:0000428
SO_EXT:0000429	SO:0000429
SO_EXT:0000430	SO:0000430
SO_EXT:0000431	SO:0000431
SO_EXT:0000432	SO:0000432
SO_EXT:0000433	SO:0000433
SO_EXT:0000434	SO:0000434
SO_EXT:0000435	SO:0000435
SO_EXT:0000436	SO:0000436
SO_EXT:0000439	SO:0000439
SO_EXT:0000440	SO:0000440
SO_EXT:0000441	SO:0000441
SO_EXT:0000442	SO:0000442
SO_EXT:0000444	SO:0000444
SO_EXT:0000445	SO:0000445
SO_EXT:0000446	SO:0000446
SO_EXT:0000447	SO:0000447
SO_EXT:0000448	SO:0000448
SO_EXT:0000450	SO:0000450
SO_EXT:0000451	SO:0000451
SO_EXT:0000453	SO:0000453
SO_EXT:0000454	SO:0000454
SO_EXT:0000455	SO:0000455
SO_EXT:0000456	SO:0000456
SO_EXT:0000457	SO:0000457
SO_EXT:0000458	SO:0000458
SO_EXT:0000459	SO:0000459
SO_EXT:0000460	SO:0000460
SO_EXT:0000461	SO:0000461
SO_EXT:0000462	SO:0000462
SO_EXT:0000464	SO:0000464
SO_EXT:0000465	SO:0000465
SO_EXT:0000466	SO:0000466
SO_EXT:0000468	SO:0000468
SO_EXT:0000470	SO:0000470
SO_EXT:0000472	SO:0000472
SO_EXT:0000474	SO:0000474
SO_EXT:0000476	SO:0000476
SO_EXT:0000478	SO:0000478
SO_EXT:0000479	SO:0000479
SO_EXT:0000480	SO:0000480
SO_EXT:0000481	SO:0000481
SO_EXT:0000482	SO:0000482
SO_EXT:0000483	SO:0000483
SO_EXT:0000484	SO:0000484
SO_EXT:0000485	SO:0000485
SO_EXT:0000486	SO:0000486
SO_EXT:0000487	SO:0000487
SO_EXT:0000488	SO:0000488
SO_EXT:0000489	SO:0000489
SO_EXT:0000490	SO:0000490
SO_EXT:0000491	SO:0000491
SO_EXT:0000492	SO:0000492
SO_EXT:0000493	SO:0000493
SO_EXT:0000494	SO:0000494
SO_EXT:0000495	SO:0000495
SO_EXT:0000496	SO:0000496
SO_EXT:0000497	SO:0000497
SO_EXT:0000498	SO:0000498
SO_EXT:0000499	SO:0000499
SO_EXT:0000500	SO:0000500
SO_EXT:0000501	SO:0000501
SO_EXT:0000504	SO:0000504
SO_EXT:0000505	SO:0000505
SO_EXT:0000506	SO:0000506
SO_EXT:0000507	SO:0000507
SO_EXT:0000508	SO:0000508
SO_EXT:0000509	SO:0000509
SO_EXT:0000510	SO:0000510
SO_EXT:0000511	SO:0000511
SO_EXT:0000512	SO:0000512
SO_EXT:0000513	SO:0000513
SO_EXT:0000514	SO:0000514
SO_EXT:0000515	SO:0000515
SO_EXT:0000516	SO:0000516
SO_EXT:0000517	SO:0000517
SO_EXT:0000518	SO:0000518
SO_EXT:0000519	SO:0000519
SO_EXT:0000520	SO:0000520
SO_EXT:0000521	SO:0000521
SO_EXT:0000522	SO:0000522
SO_EXT:0000523	SO:0000523
SO_EXT:0000524	SO:0000524
SO_EXT:0000525	SO:0000525
SO_EXT:0000526	SO:0000526
SO_EXT:0000527	SO:0000527
SO_EXT:0000528	SO:0000528
SO_EXT:0000529	SO:0000529
SO_EXT:0000530	SO:0000530
SO_EXT:0000531	SO:0000531
SO_EXT:0000532	SO:0000532
SO_EXT:0000533	SO:0000533
SO_EXT:0000534	SO:0000534
SO_EXT:0000535	SO:0000535
SO_EXT:0000536	SO:0000536
SO_EXT:0000537	SO:0000537
SO_EXT:0000538	SO:0000538
SO_EXT:0000539	SO:0000539
SO_EXT:0000540	SO:0000540
SO_EXT:0000541	SO:0000541
SO_EXT:0000542	SO:0000542
SO_EXT:0000544	SO:0000544
SO_EXT:0000545	SO:0000545
SO_EXT:0000547	SO:0000547
SO_EXT:0000548	SO:0000548
SO_EXT:0000549	SO:0000549
SO_EXT:0000550	SO:0000550
SO_EXT:0000551	SO:0000551
SO_EXT:0000552	SO:0000552
SO_EXT:0000553	SO:0000553
SO_EXT:0000555	SO:0000555
SO_EXT:0000556	SO:0000556
SO_EXT:0000557	SO:0000557
SO_EXT:0000558	SO:0000558
SO_EXT:0000559	SO:0000559
SO_EXT:0000560	SO:0000560
SO_EXT:0000561	SO:0000561
SO_EXT:0000562	SO:0000562
SO_EXT:0000563	SO:0000563
SO_EXT:0000564	SO:0000564
SO_EXT:0000565	SO:0000565
SO_EXT:0000566	SO:0000566
SO_EXT:0000567	SO:0000567
SO_EXT:0000568	SO:0000568
SO_EXT:0000570	SO:0000570
SO_EXT:0000572	SO:0000572
SO_EXT:0000574	SO:0000574
SO_EXT:0000576	SO:0000576
SO_EXT:0000577	SO:0000577
SO_EXT:0000579	SO:0000579
SO_EXT:0000580	SO:0000580
SO_EXT:0000581	SO:0000581
SO_EXT:0000582	SO:0000582
SO_EXT:0000583	SO:0000583
SO_EXT:0000584	SO:0000584
SO_EXT:0000586	SO:0000586
SO_EXT:0000587	SO:0000587
SO_EXT:0000588	SO:0000588
SO_EXT:0000589	SO:0000589
SO_EXT:0000590	SO:0000590
SO_EXT:0000591	SO:0000591
SO_EXT:0000592	SO:0000592
SO_EXT:0000593	SO:0000593
SO_EXT:0000594	SO:0000594
SO_EXT:0000595	SO:0000595
SO_EXT:0000596	SO:0000596
SO_EXT:0000602	SO:0000602
SO_EXT:0000603	SO:0000603
SO_EXT:0000604	SO:0000604
SO_EXT:0000605	SO:0000605
SO_EXT:0000606	SO:0000606
SO_EXT:0000607	SO:0000607
SO_EXT:0000609	SO:0000609
SO_EXT:0000610	SO:0000610
SO_EXT:0000611	SO:0000611
SO_EXT:0000612	SO:0000612
SO_EXT:0000613	SO:0000613
SO_EXT:0000614	SO:0000614
SO_EXT:0000615	SO:0000615
SO_EXT:0000616	SO:0000616
SO_EXT:0000617	SO:0000617
SO_EXT:0000618	SO:0000618
SO_EXT:0000619	SO:0000619
SO_EXT:0000620	SO:0000620
SO_EXT:0000621	SO:0000621
SO_EXT:0000622	SO:0000622
SO_EXT:0000624	SO:0000624
SO_EXT:0000625	SO:0000625
SO_EXT:0000626	SO:0000626
SO_EXT:0000627	SO:0000627
SO_EXT:0000628	SO:0000628
SO_EXT:0000629	SO:0000629
SO_EXT:0000630	SO:0000630
SO_EXT:0000631	SO:0000631
SO_EXT:0000632	SO:0000632
SO_EXT:0000633	SO:0000633
SO_EXT:0000634	SO:0000634
SO_EXT:0000635	SO:0000635
SO_EXT:0000636	SO:0000636
SO_EXT:0000637	SO:0000637
SO_EXT:0000638	SO:0000638
SO_EXT:0000639	SO:0000639
SO_EXT:0000640	SO:0000640
SO_EXT:0000641	SO:0000641
SO_EXT:0000643	SO:0000643
SO_EXT:0000644	SO:0000644
SO_EXT:0000645	SO:0000645
SO_EXT:0000646	SO:0000646
SO_EXT:0000647	SO:0000647
SO_EXT:0000650	SO:0000650
SO_EXT:0000651	SO:0000651
SO_EXT:0000652	SO:0000652
SO_EXT:0000653	SO:0000653
SO_EXT:0000654	SO:0000654
SO_EXT:0000655	SO:0000655
SO_EXT:0000657	SO:0000657
SO_EXT:0000658	SO:0000658
SO_EXT:0000662	SO:0000662
SO_EXT:0000664	SO:0000664
SO_EXT:0000665	SO:0000665
SO_EXT:0000666	SO:0000666
SO_EXT:0000667	SO:0000667
SO_EXT:0000668	SO:0000668
SO_EXT:0000669	SO:0000669
SO_EXT:0000670	SO:0000670
SO_EXT:0000671	SO:0000671
SO_EXT:0000672	SO:0000672
SO_EXT:0000673	SO:0000673
SO_EXT:0000676	SO:0000676
SO_EXT:0000677	SO:0000677
SO_EXT:0000678	SO:0000678
SO_EXT:0000679	SO:0000679
SO_EXT:0000680	SO:0000680
SO_EXT:0000681	SO:0000681
SO_EXT:0000683	SO:0000683
SO_EXT:0000684	SO:0000684
SO_EXT:0000685	SO:0000685
SO_EXT:0000686	SO:0000686
SO_EXT:0000687	SO:0000687
SO_EXT:0000688	SO:0000688
SO_EXT:0000689	SO:0000689
SO_EXT:0000690	SO:0000690
SO_EXT:0000691	SO:0000691
SO_EXT:0000692	SO:0000692
SO_EXT:0000693	SO:0000693
SO_EXT:0000694	SO:0000694
SO_EXT:0000695	SO:0000695
SO_EXT:0000696	SO:0000696
SO_EXT:0000697	SO:0000697
SO_EXT:0000698	SO:0000698
SO_EXT:0000699	SO:0000699
SO_EXT:0000700	SO:0000700
SO_EXT:0000701	SO:0000701
SO_EXT:0000702	SO:0000702
SO_EXT:0000703	SO:0000703
SO_EXT:0000704	SO:0000704
SO_EXT:0000705	SO:0000705
SO_EXT:0000706	SO:0000706
SO_EXT:0000707	SO:0000707
SO_EXT:0000708	SO:0000708
SO_EXT:0000709	SO:0000709
SO_EXT:0000710	SO:0000710
SO_EXT:0000711	SO:0000711
SO_EXT:0000712	SO:0000712
SO_EXT:0000713	SO:0000713
SO_EXT:0000714	SO:0000714
SO_EXT:0000715	SO:0000715
SO_EXT:0000716	SO:0000716
SO_EXT:0000717	SO:0000717
SO_EXT:0000718	SO:0000718
SO_EXT:0000719	SO:0000719
SO_EXT:0000720	SO:0000720
SO_EXT:0000721	SO:0000721
SO_EXT:0000722	SO:0000722
SO_EXT:0000723	SO:0000723
SO_EXT:0000724	SO:0000724
SO_EXT:0000725	SO:0000725
SO_EXT:0000726	SO:0000726
SO_EXT:0000727	SO:0000727
SO_EXT:0000728	SO:0000728
SO_EXT:0000730	SO:0000730
SO_EXT:0000734	SO:0000734
SO_EXT:0000741	SO:0000741
SO_EXT:0000742	SO:0000742
SO_EXT:0000750	SO:0000750
SO_EXT:0000752	SO:0000752
SO_EXT:0000753	SO:0000753
SO_EXT:0000754	SO:0000754
SO_EXT:0000755	SO:0000755
SO_EXT:0000766	SO:0000766
SO_EXT:0000768	SO:0000768
SO_EXT:0000769	SO:0000769
SO_EXT:0000770	SO:0000770
SO_EXT:0000771	SO:0000771
SO_EXT:0000772	SO:0000772
SO_EXT:0000773	SO:0000773
SO_EXT:0000774	SO:0000774
SO_EXT:0000775	SO:0000775
SO_EXT:0000776	SO:0000776
SO_EXT:0000777	SO:0000777
SO_EXT:0000778	SO:0000778
SO_EXT:0000779	SO:0000779
SO_EXT:0000785	SO:0000785
SO_EXT:0000794	SO:0000794
SO_EXT:0000795	SO:0000795
SO_EXT:0000796	SO:0000796
SO_EXT:0000797	SO:0000797
SO_EXT:0000798	SO:0000798
SO_EXT:0000799	SO:0000799
SO_EXT:0000800	SO:0000800
SO_EXT:0000801	SO:0000801
SO_EXT:0000802	SO:0000802
SO_EXT:0000803	SO:0000803
SO_EXT:0000804	SO:0000804
SO_EXT:0000805	SO:0000805
SO_EXT:0000807	SO:0000807
SO_EXT:0000808	SO:0000808
SO_EXT:0000809	SO:0000809
SO_EXT:0000810	SO:0000810
SO_EXT:0000811	SO:0000811
SO_EXT:0000812	SO:0000812
SO_EXT:0000813	SO:0000813
SO_EXT:0000815	SO:0000815
SO_EXT:0000816	SO:0000816
SO_EXT:0000818	SO:0000818
SO_EXT:0000819	SO:0000819
SO_EXT:0000820	SO:0000820
SO_EXT:0000821	SO:0000821
SO_EXT:0000822	SO:0000822
SO_EXT:0000823	SO:0000823
SO_EXT:0000824	SO:0000824
SO_EXT:0000825	SO:0000825
SO_EXT:0000828	SO:0000828
SO_EXT:0000829	SO:0000829
SO_EXT:0000830	SO:0000830
SO_EXT:0000831	SO:0000831
SO_EXT:0000833	SO:0000833
SO_EXT:0000834	SO:0000834
SO_EXT:0000835	SO:0000835
SO_EXT:0000836	SO:0000836
SO_EXT:0000837	SO:0000837
SO_EXT:0000838	SO:0000838
SO_EXT:0000839	SO:0000839
