CHEBI_GO_EXT:agonist	GO:0048018
GO_EXT:0000996	GO:0000996
GO_EXT:0000997	GO:0000997
GO_EXT:0001000	GO:0001000
GO_EXT:0001001	GO:0001001
GO_EXT:0001002	GO:0001002
GO_EXT:0001003	GO:0001003
GO_EXT:0001004	GO:0001004
GO_EXT:0001005	GO:0001005
GO_EXT:0001006	GO:0001006
GO_EXT:0001007	GO:0001007
GO_EXT:0001008	GO:0001008
GO_EXT:0001010	GO:0001010
GO_EXT:0001011	GO:0001011
GO_EXT:0001012	GO:0001012
GO_EXT:0001013	GO:0001013
GO_EXT:0001016	GO:0001016
GO_EXT:0001017	GO:0001017
GO_EXT:0001018	GO:0001018
GO_EXT:0001019	GO:0001019
GO_EXT:0001025	GO:0001025
GO_EXT:0001026	GO:0001026
GO_EXT:0001027	GO:0001027
GO_EXT:0001028	GO:0001028
GO_EXT:0001029	GO:0001029
GO_EXT:0001030	GO:0001030
GO_EXT:0001031	GO:0001031
GO_EXT:0001032	GO:0001032
GO_EXT:0001033	GO:0001033
GO_EXT:0001034	GO:0001034
GO_EXT:0001037	GO:0001037
GO_EXT:0001038	GO:0001038
GO_EXT:0001039	GO:0001039
GO_EXT:0001040	GO:0001040
GO_EXT:0001042	GO:0001042
GO_EXT:0001044	GO:0001044
GO_EXT:0001045	GO:0001045
GO_EXT:0001046	GO:0001046
GO_EXT:0001047	GO:0001047
GO_EXT:0001048	GO:0001048
GO_EXT:0001049	GO:0001049
GO_EXT:0001050	GO:0001050
GO_EXT:0001051	GO:0001051
GO_EXT:0001052	GO:0001052
GO_EXT:0001053	GO:0001053
GO_EXT:0001054	GO:0001054
GO_EXT:0001055	GO:0001055
GO_EXT:0001056	GO:0001056
GO_EXT:0001057	GO:0001057
GO_EXT:0001058	GO:0001058
GO_EXT:0001061	GO:0001061
GO_EXT:0001062	GO:0001062
GO_EXT:0001063	GO:0001063
GO_EXT:0001064	GO:0001064
GO_EXT:0001065	GO:0001065
GO_EXT:0001066	GO:0001066
GO_EXT:0001067	GO:0001067
GO_EXT:0001068	GO:0001068
GO_EXT:0001069	GO:0001069
GO_EXT:0001070	GO:0001070
GO_EXT:0001071	GO:0001071
GO_EXT:0001072	GO:0001072
GO_EXT:0001073	GO:0001073
GO_EXT:0001074	GO:0001074
GO_EXT:0001075	GO:0001075
GO_EXT:0001076	GO:0001076
GO_EXT:0001077	GO:0001077
GO_EXT:0001078	GO:0001078
GO_EXT:0001082	GO:0001082
GO_EXT:0001083	GO:0001083
GO_EXT:0001084	GO:0001084
GO_EXT:0001085	GO:0001085
GO_EXT:0001086	GO:0001086
GO_EXT:0001087	GO:0001087
GO_EXT:0001088	GO:0001088
GO_EXT:0001089	GO:0001089
GO_EXT:0001090	GO:0001090
GO_EXT:0001091	GO:0001091
GO_EXT:0001092	GO:0001092
GO_EXT:0001093	GO:0001093
GO_EXT:0001094	GO:0001094
GO_EXT:0001095	GO:0001095
GO_EXT:0001096	GO:0001096
GO_EXT:0001097	GO:0001097
GO_EXT:0001098	GO:0001098
GO_EXT:0001099	GO:0001099
GO_EXT:0001102	GO:0001102
GO_EXT:0001103	GO:0001103
GO_EXT:0001104	GO:0001104
GO_EXT:0001105	GO:0001105
GO_EXT:0001106	GO:0001106
GO_EXT:0001108	GO:0001108
GO_EXT:0001128	GO:0001128
GO_EXT:0001129	GO:0001129
GO_EXT:0001130	GO:0001130
GO_EXT:0001131	GO:0001131
GO_EXT:0001132	GO:0001132
GO_EXT:0001133	GO:0001133
GO_EXT:0001134	GO:0001134
GO_EXT:0001135	GO:0001135
GO_EXT:0001136	GO:0001136
GO_EXT:0001137	GO:0001137
GO_EXT:0001138	GO:0001138
GO_EXT:0001139	GO:0001139
GO_EXT:0001140	GO:0001140
GO_EXT:0001141	GO:0001141
GO_EXT:0001142	GO:0001142
GO_EXT:0001143	GO:0001143
GO_EXT:0001144	GO:0001144
GO_EXT:0001145	GO:0001145
GO_EXT:0001146	GO:0001146
GO_EXT:0001147	GO:0001147
GO_EXT:0001148	GO:0001148
GO_EXT:0001149	GO:0001149
GO_EXT:0001150	GO:0001150
GO_EXT:0001151	GO:0001151
GO_EXT:0001152	GO:0001152
GO_EXT:0001153	GO:0001153
GO_EXT:0001154	GO:0001154
GO_EXT:0001155	GO:0001155
GO_EXT:0001156	GO:0001156
GO_EXT:0001157	GO:0001157
GO_EXT:0001158	GO:0001158
GO_EXT:0001159	GO:0001159
GO_EXT:0001160	GO:0001160
GO_EXT:0001161	GO:0001161
GO_EXT:0001162	GO:0001162
GO_EXT:0001163	GO:0001163
GO_EXT:0001164	GO:0001164
GO_EXT:0001165	GO:0001165
GO_EXT:0001166	GO:0001166
GO_EXT:0001167	GO:0001167
GO_EXT:0001168	GO:0001168
GO_EXT:0001169	GO:0001169
GO_EXT:0001170	GO:0001170
GO_EXT:0001179	GO:0001179
GO_EXT:0001181	GO:0001181
GO_EXT:0001186	GO:0001186
GO_EXT:0001187	GO:0001187
GO_EXT:0001190	GO:0001190
GO_EXT:0001191	GO:0001191
GO_EXT:0001199	GO:0001199
GO_EXT:0001200	GO:0001200
GO_EXT:0001201	GO:0001201
GO_EXT:0001202	GO:0001202
GO_EXT:0001203	GO:0001203
GO_EXT:0001204	GO:0001204
GO_EXT:0001205	GO:0001205
GO_EXT:0001206	GO:0001206
GO_EXT:0001209	GO:0001209
GO_EXT:0001210	GO:0001210
GO_EXT:0001211	GO:0001211
GO_EXT:0001212	GO:0001212
GO_EXT:0001213	GO:0001213
GO_EXT:0001214	GO:0001214
GO_EXT:0001215	GO:0001215
GO_EXT:0001216	GO:0001216
GO_EXT:0001217	GO:0001217
GO_EXT:0001218	GO:0001218
GO_EXT:0001219	GO:0001219
GO_EXT:0001220	GO:0001220
GO_EXT:0001221	GO:0001221
GO_EXT:0001222	GO:0001222
GO_EXT:0001223	GO:0001223
GO_EXT:0001224	GO:0001224
GO_EXT:0001225	GO:0001225
GO_EXT:0001226	GO:0001226
GO_EXT:0001227	GO:0001227
GO_EXT:0001228	GO:0001228
GO_EXT:0001406	GO:0001406
GO_EXT:0001409	GO:0001409
GO_EXT:0001512	GO:0001512
GO_EXT:0001515	GO:0001515
GO_EXT:0001517	GO:0001517
GO_EXT:0001530	GO:0001530
GO_EXT:0001531	GO:0001531
GO_EXT:0001532	GO:0001532
GO_EXT:0001537	GO:0001537
GO_EXT:0001540	GO:0001540
GO_EXT:0001565	GO:0001565
GO_EXT:0001566	GO:0001566
GO_EXT:0001567	GO:0001567
GO_EXT:0001571	GO:0001571
GO_EXT:0001586	GO:0001586
GO_EXT:0001587	GO:0001587
GO_EXT:0001588	GO:0001588
GO_EXT:0001591	GO:0001591
GO_EXT:0001594	GO:0001594
GO_EXT:0001595	GO:0001595
GO_EXT:0001596	GO:0001596
GO_EXT:0001601	GO:0001601
GO_EXT:0001602	GO:0001602
GO_EXT:0001604	GO:0001604
GO_EXT:0001605	GO:0001605
GO_EXT:0001607	GO:0001607
GO_EXT:0001608	GO:0001608
GO_EXT:0001609	GO:0001609
GO_EXT:0001614	GO:0001614
GO_EXT:0001616	GO:0001616
GO_EXT:0001618	GO:0001618
GO_EXT:0001621	GO:0001621
GO_EXT:0001626	GO:0001626
GO_EXT:0001631	GO:0001631
GO_EXT:0001632	GO:0001632
GO_EXT:0001634	GO:0001634
GO_EXT:0001635	GO:0001635
GO_EXT:0001637	GO:0001637
GO_EXT:0001639	GO:0001639
GO_EXT:0001640	GO:0001640
GO_EXT:0001641	GO:0001641
GO_EXT:0001642	GO:0001642
GO_EXT:0001646	GO:0001646
GO_EXT:0001647	GO:0001647
GO_EXT:0001648	GO:0001648
GO_EXT:0001653	GO:0001653
GO_EXT:0001664	GO:0001664
GO_EXT:0001665	GO:0001665
GO_EXT:0001671	GO:0001671
GO_EXT:0001681	GO:0001681
GO_EXT:0001691	GO:0001691
GO_EXT:0001716	GO:0001716
GO_EXT:0001727	GO:0001727
GO_EXT:0001729	GO:0001729
GO_EXT:0001730	GO:0001730
GO_EXT:0001733	GO:0001733
GO_EXT:0001734	GO:0001734
GO_EXT:0001735	GO:0001735
GO_EXT:0001758	GO:0001758
GO_EXT:0001760	GO:0001760
GO_EXT:0001761	GO:0001761
GO_EXT:0001784	GO:0001784
GO_EXT:0001785	GO:0001785
GO_EXT:0001786	GO:0001786
GO_EXT:0001790	GO:0001790
GO_EXT:0001791	GO:0001791
GO_EXT:0001792	GO:0001792
GO_EXT:0001793	GO:0001793
GO_EXT:0001846	GO:0001846
GO_EXT:0001847	GO:0001847
GO_EXT:0001848	GO:0001848
GO_EXT:0001849	GO:0001849
GO_EXT:0001850	GO:0001850
GO_EXT:0001851	GO:0001851
GO_EXT:0001852	GO:0001852
GO_EXT:0001853	GO:0001853
GO_EXT:0001854	GO:0001854
GO_EXT:0001855	GO:0001855
GO_EXT:0001856	GO:0001856
GO_EXT:0001857	GO:0001857
GO_EXT:0001858	GO:0001858
GO_EXT:0001859	GO:0001859
GO_EXT:0001860	GO:0001860
GO_EXT:0001861	GO:0001861
GO_EXT:0001862	GO:0001862
GO_EXT:0001863	GO:0001863
GO_EXT:0001864	GO:0001864
GO_EXT:0001871	GO:0001871
GO_EXT:0001872	GO:0001872
GO_EXT:0001873	GO:0001873
GO_EXT:0001874	GO:0001874
GO_EXT:0001875	GO:0001875
GO_EXT:0001876	GO:0001876
GO_EXT:0001877	GO:0001877
GO_EXT:0001882	GO:0001882
GO_EXT:0001883	GO:0001883
GO_EXT:0001884	GO:0001884
GO_EXT:0001888	GO:0001888
GO_EXT:0001918	GO:0001918
GO_EXT:0001948	GO:0001948
GO_EXT:0001962	GO:0001962
GO_EXT:0001965	GO:0001965
GO_EXT:0001968	GO:0001968
GO_EXT:0001972	GO:0001972
GO_EXT:0002020	GO:0002020
GO_EXT:0002039	GO:0002039
GO_EXT:0002046	GO:0002046
GO_EXT:0002054	GO:0002054
GO_EXT:0002055	GO:0002055
GO_EXT:0002056	GO:0002056
GO_EXT:0002057	GO:0002057
GO_EXT:0002058	GO:0002058
GO_EXT:0002059	GO:0002059
GO_EXT:0002060	GO:0002060
GO_EXT:0002061	GO:0002061
GO_EXT:0002083	GO:0002083
GO_EXT:0002094	GO:0002094
GO_EXT:0002112	GO:0002112
GO_EXT:0002113	GO:0002113
GO_EXT:0002114	GO:0002114
GO_EXT:0002134	GO:0002134
GO_EXT:0002135	GO:0002135
GO_EXT:0002145	GO:0002145
GO_EXT:0002151	GO:0002151
GO_EXT:0002153	GO:0002153
GO_EXT:0002161	GO:0002161
GO_EXT:0002162	GO:0002162
GO_EXT:0002170	GO:0002170
GO_EXT:0002171	GO:0002171
GO_EXT:0002172	GO:0002172
GO_EXT:0002173	GO:0002173
GO_EXT:0002196	GO:0002196
GO_EXT:0002935	GO:0002935
GO_EXT:0002948	GO:0002948
GO_EXT:0003674	GO:0003674
GO_EXT:0003676	GO:0003676
GO_EXT:0003677	GO:0003677
GO_EXT:0003678	GO:0003678
GO_EXT:0003680	GO:0003680
GO_EXT:0003681	GO:0003681
GO_EXT:0003682	GO:0003682
GO_EXT:0003684	GO:0003684
GO_EXT:0003688	GO:0003688
GO_EXT:0003689	GO:0003689
GO_EXT:0003690	GO:0003690
GO_EXT:0003691	GO:0003691
GO_EXT:0003692	GO:0003692
GO_EXT:0003693	GO:0003693
GO_EXT:0003695	GO:0003695
GO_EXT:0003696	GO:0003696
GO_EXT:0003697	GO:0003697
GO_EXT:0003700	GO:0003700
GO_EXT:0003705	GO:0003705
GO_EXT:0003707	GO:0003707
GO_EXT:0003708	GO:0003708
GO_EXT:0003712	GO:0003712
GO_EXT:0003713	GO:0003713
GO_EXT:0003714	GO:0003714
GO_EXT:0003720	GO:0003720
GO_EXT:0003721	GO:0003721
GO_EXT:0003723	GO:0003723
GO_EXT:0003724	GO:0003724
GO_EXT:0003725	GO:0003725
GO_EXT:0003726	GO:0003726
GO_EXT:0003727	GO:0003727
GO_EXT:0003729	GO:0003729
GO_EXT:0003730	GO:0003730
GO_EXT:0003735	GO:0003735
GO_EXT:0003743	GO:0003743
GO_EXT:0003746	GO:0003746
GO_EXT:0003747	GO:0003747
GO_EXT:0003755	GO:0003755
GO_EXT:0003756	GO:0003756
GO_EXT:0003774	GO:0003774
GO_EXT:0003777	GO:0003777
GO_EXT:0003779	GO:0003779
GO_EXT:0003785	GO:0003785
GO_EXT:0003786	GO:0003786
GO_EXT:0003796	GO:0003796
GO_EXT:0003810	GO:0003810
GO_EXT:0003823	GO:0003823
GO_EXT:0003824	GO:0003824
GO_EXT:0003825	GO:0003825
GO_EXT:0003826	GO:0003826
GO_EXT:0003827	GO:0003827
GO_EXT:0003828	GO:0003828
GO_EXT:0003829	GO:0003829
GO_EXT:0003830	GO:0003830
GO_EXT:0003831	GO:0003831
GO_EXT:0003832	GO:0003832
GO_EXT:0003833	GO:0003833
GO_EXT:0003834	GO:0003834
GO_EXT:0003835	GO:0003835
GO_EXT:0003836	GO:0003836
GO_EXT:0003837	GO:0003837
GO_EXT:0003838	GO:0003838
GO_EXT:0003839	GO:0003839
GO_EXT:0003840	GO:0003840
GO_EXT:0003841	GO:0003841
GO_EXT:0003842	GO:0003842
GO_EXT:0003843	GO:0003843
GO_EXT:0003844	GO:0003844
GO_EXT:0003845	GO:0003845
GO_EXT:0003846	GO:0003846
GO_EXT:0003847	GO:0003847
GO_EXT:0003848	GO:0003848
GO_EXT:0003849	GO:0003849
GO_EXT:0003850	GO:0003850
GO_EXT:0003851	GO:0003851
GO_EXT:0003852	GO:0003852
GO_EXT:0003853	GO:0003853
GO_EXT:0003854	GO:0003854
GO_EXT:0003855	GO:0003855
GO_EXT:0003856	GO:0003856
GO_EXT:0003857	GO:0003857
GO_EXT:0003858	GO:0003858
GO_EXT:0003859	GO:0003859
GO_EXT:0003860	GO:0003860
GO_EXT:0003861	GO:0003861
GO_EXT:0003862	GO:0003862
GO_EXT:0003863	GO:0003863
GO_EXT:0003864	GO:0003864
GO_EXT:0003865	GO:0003865
GO_EXT:0003866	GO:0003866
GO_EXT:0003867	GO:0003867
GO_EXT:0003868	GO:0003868
GO_EXT:0003870	GO:0003870
GO_EXT:0003871	GO:0003871
GO_EXT:0003872	GO:0003872
GO_EXT:0003873	GO:0003873
GO_EXT:0003874	GO:0003874
GO_EXT:0003875	GO:0003875
GO_EXT:0003876	GO:0003876
GO_EXT:0003877	GO:0003877
GO_EXT:0003878	GO:0003878
GO_EXT:0003879	GO:0003879
GO_EXT:0003880	GO:0003880
GO_EXT:0003881	GO:0003881
GO_EXT:0003882	GO:0003882
GO_EXT:0003883	GO:0003883
GO_EXT:0003884	GO:0003884
GO_EXT:0003885	GO:0003885
GO_EXT:0003886	GO:0003886
GO_EXT:0003887	GO:0003887
GO_EXT:0003896	GO:0003896
GO_EXT:0003899	GO:0003899
GO_EXT:0003904	GO:0003904
GO_EXT:0003905	GO:0003905
GO_EXT:0003906	GO:0003906
GO_EXT:0003908	GO:0003908
GO_EXT:0003909	GO:0003909
GO_EXT:0003910	GO:0003910
GO_EXT:0003911	GO:0003911
GO_EXT:0003912	GO:0003912
GO_EXT:0003913	GO:0003913
GO_EXT:0003914	GO:0003914
GO_EXT:0003916	GO:0003916
GO_EXT:0003917	GO:0003917
GO_EXT:0003918	GO:0003918
GO_EXT:0003919	GO:0003919
GO_EXT:0003920	GO:0003920
GO_EXT:0003921	GO:0003921
GO_EXT:0003922	GO:0003922
GO_EXT:0003923	GO:0003923
GO_EXT:0003924	GO:0003924
GO_EXT:0003933	GO:0003933
GO_EXT:0003934	GO:0003934
GO_EXT:0003935	GO:0003935
GO_EXT:0003937	GO:0003937
GO_EXT:0003938	GO:0003938
GO_EXT:0003939	GO:0003939
GO_EXT:0003940	GO:0003940
GO_EXT:0003941	GO:0003941
GO_EXT:0003942	GO:0003942
GO_EXT:0003943	GO:0003943
GO_EXT:0003944	GO:0003944
GO_EXT:0003945	GO:0003945
GO_EXT:0003947	GO:0003947
GO_EXT:0003948	GO:0003948
GO_EXT:0003949	GO:0003949
GO_EXT:0003950	GO:0003950
GO_EXT:0003951	GO:0003951
GO_EXT:0003952	GO:0003952
GO_EXT:0003953	GO:0003953
GO_EXT:0003954	GO:0003954
GO_EXT:0003955	GO:0003955
GO_EXT:0003956	GO:0003956
GO_EXT:0003957	GO:0003957
GO_EXT:0003958	GO:0003958
GO_EXT:0003959	GO:0003959
GO_EXT:0003960	GO:0003960
GO_EXT:0003961	GO:0003961
GO_EXT:0003962	GO:0003962
GO_EXT:0003963	GO:0003963
GO_EXT:0003964	GO:0003964
GO_EXT:0003968	GO:0003968
GO_EXT:0003972	GO:0003972
GO_EXT:0003973	GO:0003973
GO_EXT:0003974	GO:0003974
GO_EXT:0003975	GO:0003975
GO_EXT:0003976	GO:0003976
GO_EXT:0003977	GO:0003977
GO_EXT:0003978	GO:0003978
GO_EXT:0003979	GO:0003979
GO_EXT:0003980	GO:0003980
GO_EXT:0003983	GO:0003983
GO_EXT:0003984	GO:0003984
GO_EXT:0003985	GO:0003985
GO_EXT:0003986	GO:0003986
GO_EXT:0003987	GO:0003987
GO_EXT:0003988	GO:0003988
GO_EXT:0003989	GO:0003989
GO_EXT:0003990	GO:0003990
GO_EXT:0003991	GO:0003991
GO_EXT:0003992	GO:0003992
GO_EXT:0003993	GO:0003993
GO_EXT:0003994	GO:0003994
GO_EXT:0003995	GO:0003995
GO_EXT:0003996	GO:0003996
GO_EXT:0003997	GO:0003997
GO_EXT:0003998	GO:0003998
GO_EXT:0003999	GO:0003999
GO_EXT:0004000	GO:0004000
GO_EXT:0004001	GO:0004001
GO_EXT:0004003	GO:0004003
GO_EXT:0004004	GO:0004004
GO_EXT:0004008	GO:0004008
GO_EXT:0004012	GO:0004012
GO_EXT:0004013	GO:0004013
GO_EXT:0004014	GO:0004014
GO_EXT:0004015	GO:0004015
GO_EXT:0004016	GO:0004016
GO_EXT:0004017	GO:0004017
GO_EXT:0004018	GO:0004018
GO_EXT:0004019	GO:0004019
GO_EXT:0004020	GO:0004020
GO_EXT:0004021	GO:0004021
GO_EXT:0004022	GO:0004022
GO_EXT:0004023	GO:0004023
GO_EXT:0004024	GO:0004024
GO_EXT:0004025	GO:0004025
GO_EXT:0004026	GO:0004026
GO_EXT:0004027	GO:0004027
GO_EXT:0004028	GO:0004028
GO_EXT:0004029	GO:0004029
GO_EXT:0004030	GO:0004030
GO_EXT:0004031	GO:0004031
GO_EXT:0004032	GO:0004032
GO_EXT:0004033	GO:0004033
GO_EXT:0004034	GO:0004034
GO_EXT:0004035	GO:0004035
GO_EXT:0004037	GO:0004037
GO_EXT:0004038	GO:0004038
GO_EXT:0004039	GO:0004039
GO_EXT:0004040	GO:0004040
GO_EXT:0004042	GO:0004042
GO_EXT:0004043	GO:0004043
GO_EXT:0004044	GO:0004044
GO_EXT:0004045	GO:0004045
GO_EXT:0004046	GO:0004046
GO_EXT:0004047	GO:0004047
GO_EXT:0004048	GO:0004048
GO_EXT:0004049	GO:0004049
GO_EXT:0004051	GO:0004051
GO_EXT:0004052	GO:0004052
GO_EXT:0004053	GO:0004053
GO_EXT:0004054	GO:0004054
GO_EXT:0004055	GO:0004055
GO_EXT:0004056	GO:0004056
GO_EXT:0004057	GO:0004057
GO_EXT:0004058	GO:0004058
GO_EXT:0004059	GO:0004059
GO_EXT:0004060	GO:0004060
GO_EXT:0004061	GO:0004061
GO_EXT:0004062	GO:0004062
GO_EXT:0004063	GO:0004063
GO_EXT:0004064	GO:0004064
GO_EXT:0004065	GO:0004065
GO_EXT:0004066	GO:0004066
GO_EXT:0004067	GO:0004067
GO_EXT:0004068	GO:0004068
GO_EXT:0004069	GO:0004069
GO_EXT:0004070	GO:0004070
GO_EXT:0004071	GO:0004071
GO_EXT:0004072	GO:0004072
GO_EXT:0004073	GO:0004073
GO_EXT:0004074	GO:0004074
GO_EXT:0004075	GO:0004075
GO_EXT:0004076	GO:0004076
GO_EXT:0004077	GO:0004077
GO_EXT:0004078	GO:0004078
GO_EXT:0004079	GO:0004079
GO_EXT:0004080	GO:0004080
GO_EXT:0004081	GO:0004081
GO_EXT:0004082	GO:0004082
GO_EXT:0004083	GO:0004083
GO_EXT:0004084	GO:0004084
GO_EXT:0004085	GO:0004085
GO_EXT:0004087	GO:0004087
GO_EXT:0004088	GO:0004088
GO_EXT:0004089	GO:0004089
GO_EXT:0004090	GO:0004090
GO_EXT:0004092	GO:0004092
GO_EXT:0004095	GO:0004095
GO_EXT:0004096	GO:0004096
GO_EXT:0004097	GO:0004097
GO_EXT:0004098	GO:0004098
GO_EXT:0004099	GO:0004099
GO_EXT:0004100	GO:0004100
GO_EXT:0004102	GO:0004102
GO_EXT:0004103	GO:0004103
GO_EXT:0004104	GO:0004104
GO_EXT:0004105	GO:0004105
GO_EXT:0004106	GO:0004106
GO_EXT:0004107	GO:0004107
GO_EXT:0004108	GO:0004108
GO_EXT:0004109	GO:0004109
GO_EXT:0004110	GO:0004110
GO_EXT:0004111	GO:0004111
GO_EXT:0004112	GO:0004112
GO_EXT:0004113	GO:0004113
GO_EXT:0004114	GO:0004114
GO_EXT:0004115	GO:0004115
GO_EXT:0004117	GO:0004117
GO_EXT:0004118	GO:0004118
GO_EXT:0004119	GO:0004119
GO_EXT:0004120	GO:0004120
GO_EXT:0004121	GO:0004121
GO_EXT:0004122	GO:0004122
GO_EXT:0004123	GO:0004123
GO_EXT:0004124	GO:0004124
GO_EXT:0004125	GO:0004125
GO_EXT:0004126	GO:0004126
GO_EXT:0004127	GO:0004127
GO_EXT:0004128	GO:0004128
GO_EXT:0004129	GO:0004129
GO_EXT:0004130	GO:0004130
GO_EXT:0004131	GO:0004131
GO_EXT:0004132	GO:0004132
GO_EXT:0004133	GO:0004133
GO_EXT:0004134	GO:0004134
GO_EXT:0004135	GO:0004135
