CHEBI:13193	CHEBI_EXT:13193
CHEBI:24874	CHEBI_EXT:24874
CHEBI:24898	CHEBI_SO_EXT:isoleucine
CHEBI:24937	CHEBI_EXT:24937
CHEBI:24941	CHEBI_EXT:24941
CHEBI:24942	CHEBI_EXT:24942
CHEBI:25016	CHEBI_EXT:lead
CHEBI:25017	CHEBI_SO_EXT:leucine
CHEBI:25078	CHEBI_EXT:25078
CHEBI:25094	CHEBI_SO_EXT:lysine
CHEBI:25107	CHEBI_EXT:magnesium
CHEBI:25195	CHEBI_EXT:mercury
CHEBI:25212	CHEBI_EXT:25212
CHEBI:25355	CHEBI_EXT:25355
CHEBI:25367	CHEBI:36357
CHEBI:25435	CHEBI_EXT:25435
CHEBI:25442	CHEBI_EXT:25442
CHEBI:25491	CHEBI_EXT:25491
CHEBI:25512	CHEBI_EXT:25512
CHEBI:25523	CHEBI_EXT:NADP
CHEBI:25540	CHEBI_EXT:25540
CHEBI:25555	CHEBI_EXT:nitrogen
CHEBI:25573	CHEBI_EXT:25573
CHEBI:25605	CHEBI_EXT:25605
CHEBI:25728	CHEBI_EXT:25728
CHEBI:25747	CHEBI_EXT:25747
CHEBI:25805	CHEBI_EXT:oxygen
CHEBI:25943	CHEBI_EXT:25943
CHEBI:25944	CHEBI_EXT:25944
CHEBI:26013	CHEBI_EXT:26013
CHEBI:26020	CHEBI_EXT:phosphate
CHEBI:26083	CHEBI_EXT:26083
CHEBI:26087	CHEBI_EXT:26087
CHEBI:26088	CHEBI_EXT:26088
CHEBI:26089	CHEBI_EXT:26089
CHEBI:26115	CHEBI_EXT:26115
CHEBI:26130	CHEBI_EXT:26130
CHEBI:26155	CHEBI_EXT:26155
CHEBI:26157	CHEBI_EXT:26157
CHEBI:26178	CHEBI_EXT:polyester
CHEBI:26216	CHEBI_EXT:potassium
CHEBI:26220	CHEBI_EXT:26220
CHEBI:26271	CHEBI_SO_EXT:proline
CHEBI:26348	CHEBI_EXT:26348
CHEBI:26401	CHEBI_EXT:purine
CHEBI:26413	CHEBI_EXT:26413
CHEBI:26645	CHEBI_EXT:26645
CHEBI:26671	CHEBI_EXT:26671
CHEBI:26672	CHEBI_EXT:26672
CHEBI:26708	CHEBI_EXT:sodium
CHEBI:26833	CHEBI_EXT:sulfur
CHEBI:26841	CHEBI_EXT:26841
CHEBI:26842	CHEBI_EXT:26842
CHEBI:26986	CHEBI_SO_EXT:threonine
CHEBI:27026	CHEBI_EXT:27026
CHEBI:27027	CHEBI_EXT:27027
CHEBI:27266	CHEBI_SO_EXT:valine
CHEBI:27311	CHEBI_EXT:27311
CHEBI:27314	CHEBI_EXT:27314
CHEBI:27334	CHEBI_EXT:27334
CHEBI:27363	CHEBI_EXT:zinc
CHEBI:27570	CHEBI_SO_EXT:histidine
CHEBI:27594	CHEBI_EXT:carbon
CHEBI:27638	CHEBI_EXT:cobalt
CHEBI:27780	CHEBI_EXT:27780
CHEBI:27897	CHEBI_SO_EXT:tryptophan
CHEBI:27998	CHEBI_EXT:tungsten
CHEBI:28044	CHEBI_SO_EXT:phenylalanine
CHEBI:28112	CHEBI_EXT:nickel
CHEBI:28300	CHEBI_SO_EXT:glutamine
CHEBI:28694	CHEBI_EXT:copper
CHEBI:28984	CHEBI_EXT:aluminium
CHEBI:29016	CHEBI_SO_EXT:arginine
CHEBI:29181	CHEBI_SO_EXT:tRNA_Trp
CHEBI:29287	CHEBI_EXT:gold
CHEBI:30145	CHEBI_EXT:lithium
CHEBI:30512	CHEBI_EXT:silver
CHEBI:31962	CHEBI_EXT:paraformaldehye
CHEBI:3306	CHEBI_PR_EXT:calcitonin
CHEBI:33229	CHEBI_EXT:33229
CHEBI:33231	CHEBI_EXT:33231
CHEBI:33232
CHEBI:33280	CHEBI_EXT:33280
CHEBI:33281	CHEBI_EXT:33281
CHEBI:33282	CHEBI_EXT:33282
CHEBI:33284	CHEBI_EXT:33284
CHEBI:33286	CHEBI_EXT:33286
CHEBI:33287	CHEBI_EXT:33287
CHEBI:33288	CHEBI_EXT:33288
CHEBI:33289	CHEBI_EXT:33289
CHEBI:33290	CHEBI_EXT:33290
CHEBI:33292	CHEBI_EXT:33292
CHEBI:33295	CHEBI_EXT:33295
CHEBI:33363	CHEBI_EXT:palladium
CHEBI:33364	CHEBI_EXT:platinum
CHEBI:33375	CHEBI_EXT:gadolinium
CHEBI:33521	CHEBI_EXT:metal
CHEBI:33696	CHEBI_SO_EXT:nucleic_acid
CHEBI:33697	CHEBI_SO_EXT:RNA
CHEBI:33699	CHEBI_SO_EXT:mRNA
CHEBI:33709	CHEBI_SO_EXT:amino_acid
CHEBI:33731
CHEBI:33893	CHEBI_EXT:33893
CHEBI:33904	CHEBI_EXT:33904
CHEBI:33937	CHEBI_EXT:33937
CHEBI:34543	CHEBI_PR_EXT:arginine_vasopressin
CHEBI:34896	CHEBI_EXT:34896
CHEBI:35143	CHEBI_GO_EXT:hemoglobin
CHEBI:35195	CHEBI_EXT:35195
CHEBI:35197	CHEBI_EXT:35197
CHEBI:35204	CHEBI_EXT:35204
CHEBI:35205	CHEBI_EXT:35205
CHEBI:35206	CHEBI_EXT:35206
CHEBI:35207	CHEBI_EXT:35207
CHEBI:35208	CHEBI_EXT:35208
CHEBI:35209	CHEBI_SO_EXT:molecular_indicator_or_label_or_marker_or_tag
CHEBI:35210	CHEBI_EXT:35210
CHEBI:35211	CHEBI_EXT:35211
CHEBI:35219	CHEBI_EXT:35219
CHEBI:35221	CHEBI_EXT:35221
CHEBI:35222	CHEBI_EXT:35222
CHEBI:35223	CHEBI_EXT:35223
CHEBI:35224	CHEBI_EXT:35224
CHEBI:35225	CHEBI_EXT:35225
CHEBI:35226	CHEBI_EXT:35226
CHEBI:35230	CHEBI_EXT:35230
CHEBI:35231	CHEBI_EXT:35231
CHEBI:35232	CHEBI_EXT:35232
CHEBI:35337	CHEBI_EXT:35337
CHEBI:35441	CHEBI_EXT:35441
CHEBI:35442	CHEBI_EXT:35442
CHEBI:35443	CHEBI_EXT:35443
CHEBI:35444	CHEBI_EXT:35444
CHEBI:35457	CHEBI_EXT:35457
CHEBI:35469	CHEBI_EXT:35469
CHEBI:35470	CHEBI_EXT:35470
CHEBI:35471	CHEBI_EXT:35471
CHEBI:35472	CHEBI_EXT:35472
CHEBI:35473	CHEBI_EXT:35473
CHEBI:35474	CHEBI_EXT:35474
CHEBI:35475	CHEBI_EXT:35475
CHEBI:35476	CHEBI_EXT:35476
CHEBI:35477	CHEBI_EXT:35477
CHEBI:35480	CHEBI_EXT:35480
CHEBI:35481	CHEBI_EXT:35481
CHEBI:35482	CHEBI_EXT:35482
CHEBI:35487	CHEBI_EXT:35487
CHEBI:35488	CHEBI_EXT:35488
CHEBI:35493	CHEBI_EXT:35493
CHEBI:35497	CHEBI_EXT:35497
CHEBI:35498	CHEBI_EXT:35498
CHEBI:35499	CHEBI_EXT:35499
CHEBI:35522	CHEBI_EXT:35522
CHEBI:35523	CHEBI_EXT:35523
CHEBI:35524	CHEBI_EXT:35524
CHEBI:35526	CHEBI_EXT:35526
CHEBI:35530	CHEBI_EXT:35530
CHEBI:35544	CHEBI_EXT:35544
CHEBI:35554	CHEBI_EXT:35554
CHEBI:35569	CHEBI_EXT:35569
CHEBI:35584	CHEBI_EXT:purine
CHEBI:35608	CHEBI_EXT:35608
CHEBI:35610	CHEBI_EXT:35610
CHEBI:35617	CHEBI_EXT:35617
CHEBI:35620	CHEBI_EXT:35620
CHEBI:35623	CHEBI_EXT:35623
CHEBI:35625	CHEBI_EXT:35625
CHEBI:35634	CHEBI_EXT:35634
CHEBI:35640	CHEBI_EXT:35640
CHEBI:35660	CHEBI_EXT:35660
CHEBI:35664	CHEBI_EXT:35664
CHEBI:35674	CHEBI_EXT:35674
CHEBI:35678	CHEBI_EXT:35678
CHEBI:35679	CHEBI_EXT:35679
CHEBI:35684	CHEBI_EXT:35684
CHEBI:35703	CHEBI_EXT:35703
CHEBI:35705	CHEBI_EXT:35705
CHEBI:35717	CHEBI_EXT:35717
CHEBI:35718	CHEBI_EXT:35718
CHEBI:35816	CHEBI_EXT:35816
CHEBI:35818	CHEBI_EXT:35818
CHEBI:35820	CHEBI_EXT:35820
CHEBI:35821	CHEBI_EXT:35821
CHEBI:35841	CHEBI_EXT:35841
CHEBI:35842	CHEBI_EXT:35842
CHEBI:35845	CHEBI_EXT:35845
CHEBI:35846	CHEBI_EXT:35846
CHEBI:35856	CHEBI_EXT:35856
CHEBI:35941	CHEBI_EXT:35941
CHEBI:35942	CHEBI_EXT:35942
CHEBI:36043	CHEBI_EXT:36043
CHEBI:36044	CHEBI_EXT:36044
CHEBI:36047	CHEBI_EXT:36047
CHEBI:36050	CHEBI_EXT:36050
CHEBI:36051	CHEBI_EXT:36051
CHEBI:36053	CHEBI_EXT:36053
CHEBI:36063	CHEBI_EXT:36063
CHEBI:36080	CHEBI_PR_EXT:protein
CHEBI:36333	CHEBI_EXT:36333
CHEBI:36335	CHEBI_EXT:36335
CHEBI:36413	CHEBI_EXT:36413
CHEBI:36710	CHEBI_EXT:36710
CHEBI:36976	CHEBI_SO_EXT:nucleotide
CHEBI:37153	CHEBI_GO_EXT:phosphoprotein_phosphatase_inhibitor
CHEBI:37334	CHEBI_EXT:37334
CHEBI:37335	CHEBI_EXT:37335
CHEBI:37336	CHEBI_EXT:37336
CHEBI:37337	CHEBI_EXT:37337
CHEBI:37338	CHEBI_EXT:37338
CHEBI:37416	CHEBI_EXT:37416
CHEBI:37527	CHEBI_EXT:37527
CHEBI:37670	CHEBI_EXT:37670
CHEBI:37699	CHEBI_EXT:37699
CHEBI:37700	CHEBI_EXT:37700
CHEBI:37733	CHEBI_EXT:37733
CHEBI:3783	CHEBI_PR_EXT:thromboplastin
CHEBI:37845	CHEBI_GO_PR_EXT:growth_hormone
CHEBI:37848	CHEBI_EXT:37848
CHEBI:37886	CHEBI_EXT:37886
CHEBI:37887	CHEBI_EXT:37887
CHEBI:37890	CHEBI_EXT:37890
CHEBI:37930	CHEBI_EXT:37930
CHEBI:37955	CHEBI_EXT:37955
CHEBI:37956	CHEBI_EXT:37956
CHEBI:37957	CHEBI_EXT:37957
CHEBI:37958	CHEBI_EXT:37958
CHEBI:37961	CHEBI_EXT:37961
CHEBI:37962	CHEBI_EXT:37962
CHEBI:37997	CHEBI_EXT:homopolymer
CHEBI:38060	CHEBI_EXT:38060
CHEBI:38068	CHEBI_EXT:38068
CHEBI:38070	CHEBI_EXT:38070
CHEBI:38147	CHEBI_EXT:38147
CHEBI:3815	CHEBI_PR_EXT:collagen
CHEBI:38155	CHEBI_EXT:38155
CHEBI:38157	CHEBI_EXT:38157
CHEBI:38161	CHEBI_EXT:38161
CHEBI:38162	CHEBI_EXT:38162
CHEBI:38215	CHEBI_EXT:38215
CHEBI:38231	CHEBI_EXT:38231
CHEBI:38234	CHEBI_EXT:38234
CHEBI:38317	CHEBI_EXT:38317
CHEBI:38323	CHEBI_EXT:38323
CHEBI:38324	CHEBI_EXT:38324
CHEBI:38325	CHEBI_EXT:38325
CHEBI:38456	CHEBI_EXT:38456
CHEBI:38461	CHEBI_EXT:38461
CHEBI:38462	CHEBI_EXT:38462
CHEBI:38496	CHEBI_EXT:38496
CHEBI:38497	CHEBI_EXT:38497
CHEBI:38498	CHEBI_EXT:38498
CHEBI:38499	CHEBI_EXT:38499
CHEBI:38500	CHEBI_EXT:38500
CHEBI:38501	CHEBI_EXT:38501
CHEBI:38502	CHEBI_EXT:38502
CHEBI:38503	CHEBI_EXT:38503
CHEBI:38577	CHEBI_EXT:38577
CHEBI:38623	CHEBI_EXT:38623
CHEBI:38632	CHEBI_EXT:38632
CHEBI:38633	CHEBI_EXT:38633
CHEBI:38634	CHEBI_EXT:38634
CHEBI:38637	CHEBI_EXT:38637
CHEBI:38706	CHEBI_EXT:38706
CHEBI:38807	CHEBI_EXT:38807
CHEBI:38808	CHEBI_EXT:38808
CHEBI:38809	CHEBI_EXT:38809
CHEBI:38828	CHEBI_EXT:38828
CHEBI:38849	CHEBI_EXT:38849
CHEBI:38867	CHEBI_EXT:38867
CHEBI:38869	CHEBI_EXT:38869
CHEBI:38870	CHEBI_EXT:38870
CHEBI:38877	CHEBI_EXT:38877
CHEBI:38941	CHEBI_EXT:38941
CHEBI:38956	CHEBI_EXT:38956
CHEBI:38999	CHEBI_EXT:38999
CHEBI:39000	CHEBI_EXT:39000
CHEBI:39011	CHEBI_EXT:39011
CHEBI:39025	CHEBI_GO_EXT:high_density_lipoprotein_particle
CHEBI:39026	CHEBI_GO_EXT:low_density_lipoprotein_particle
CHEBI:39027	CHEBI_GO_EXT:very_low_density_lipoprotein_particle
CHEBI:39116	CHEBI_EXT:39116
CHEBI:39141	CHEBI_EXT:39141
CHEBI:39142	CHEBI_EXT:39142
CHEBI:39143	CHEBI_EXT:39143
CHEBI:39144	CHEBI_EXT:39144
CHEBI:39208	CHEBI_EXT:39208
CHEBI:39215	CHEBI_EXT:39215
CHEBI:39216	CHEBI_EXT:39216
CHEBI:39217	CHEBI_EXT:39217
CHEBI:39259	CHEBI_EXT:39259
CHEBI:39276	CHEBI_EXT:39276
CHEBI:39277	CHEBI_EXT:39277
CHEBI:39301	CHEBI_EXT:39301
CHEBI:39316	CHEBI_EXT:39316
CHEBI:39317	CHEBI_EXT:39317
CHEBI:39318	CHEBI_EXT:39318
CHEBI:39351	CHEBI_EXT:39351
CHEBI:39369	CHEBI_EXT:39369
CHEBI:39378	CHEBI_EXT:39378
CHEBI:39379	CHEBI_EXT:39379
CHEBI:39412	CHEBI_EXT:39412
CHEBI:39415	CHEBI_EXT:39415
CHEBI:39442	CHEBI_EXT:39442
CHEBI:39447	CHEBI_EXT:pyrimidine
CHEBI:39456	CHEBI_EXT:39456
CHEBI:4431	CHEBI_SO_EXT:deoxyribonucleotide
CHEBI:46787	CHEBI_EXT:46787
CHEBI:46883	CHEBI_EXT:carboxy_or_carboxylato_group
CHEBI:4705	CHEBI_SO_EXT:double_stranded_DNA
CHEBI:47867	CHEBI_EXT:47867
CHEBI:47868	CHEBI_EXT:47868
CHEBI:47885	CHEBI_SO_EXT:dinucleotide
CHEBI:47923	CHEBI_SO_EXT:tripeptide
CHEBI:47958	CHEBI_EXT:47958
CHEBI:48001	CHEBI_EXT:48001
CHEBI:48218	CHEBI_EXT:48218
CHEBI:48219	CHEBI_EXT:48219
CHEBI:48278	CHEBI_EXT:48278
CHEBI:48279	CHEBI_EXT:48279
CHEBI:48318	CHEBI_EXT:48318
CHEBI:48353	CHEBI_EXT:48353
CHEBI:48354	CHEBI_EXT:48354
CHEBI:48355	CHEBI_EXT:48355
CHEBI:48356	CHEBI_EXT:48356
CHEBI:48357	CHEBI_EXT:48357
CHEBI:48358	CHEBI_EXT:48358
CHEBI:48359	CHEBI_EXT:48359
CHEBI:48360	CHEBI_EXT:48360
CHEBI:48406	CHEBI_EXT:48406
CHEBI:48407	CHEBI_EXT:48407
CHEBI:48422	CHEBI_EXT:48422
CHEBI:48425	CHEBI_EXT:48425
CHEBI:48433	CHEBI_PR_EXT:angiotensin
CHEBI:48525	CHEBI_EXT:48525
CHEBI:48539	CHEBI_EXT:48539
CHEBI:48540	CHEBI_EXT:48540
CHEBI:48550	CHEBI_EXT:48550
CHEBI:48560	CHEBI_EXT:48560
CHEBI:48561	CHEBI_EXT:48561
CHEBI:48578	CHEBI_EXT:48578
CHEBI:48668	CHEBI_EXT:48668
CHEBI:48675	CHEBI_EXT:48675
CHEBI:48676	CHEBI_EXT:48676
CHEBI:48705	CHEBI_GO_EXT:agonist
CHEBI:48706	CHEBI_GO_EXT:antagonist
CHEBI:48873	CHEBI_EXT:48873
CHEBI:48876	CHEBI_EXT:48876
CHEBI:48878	CHEBI_EXT:48878
CHEBI:48887	CHEBI_EXT:48887
CHEBI:49020	CHEBI_EXT:49020
CHEBI:49023	CHEBI_EXT:49023
CHEBI:49103	CHEBI_EXT:49103
CHEBI:49110	CHEBI_EXT:49110
CHEBI:49159	CHEBI_EXT:49159
CHEBI:49167	CHEBI_EXT:49167
CHEBI:49200	CHEBI_EXT:49200
CHEBI:49201	CHEBI_EXT:49201
CHEBI:49205	CHEBI_EXT:49205
CHEBI:49323	CHEBI_EXT:49323
CHEBI:49324	CHEBI_EXT:49324
CHEBI:49325	CHEBI_EXT:49325
CHEBI:49326	CHEBI_EXT:49326
CHEBI:49475	CHEBI_EXT:argon
CHEBI:49637	CHEBI_EXT:hydrogen
CHEBI:4964	CHEBI_PR_EXT:factor_X
CHEBI:49666	CHEBI_EXT:iridium
CHEBI:49696	CHEBI_EXT:krypton
CHEBI:50103	CHEBI_EXT:50103
CHEBI:50112	CHEBI_EXT:50112
CHEBI:50113	CHEBI_EXT:50113
CHEBI:50114	CHEBI_EXT:50114
CHEBI:50137	CHEBI_EXT:50137
CHEBI:50141	CHEBI_EXT:50141
CHEBI:50176	CHEBI_EXT:50176
CHEBI:50177	CHEBI_EXT:50177
CHEBI:50183	CHEBI_EXT:50183
CHEBI:50184	CHEBI_EXT:50184
CHEBI:50185	CHEBI_EXT:50185
CHEBI:50188	CHEBI_EXT:50188
CHEBI:50218	CHEBI_EXT:50218
CHEBI:50241	CHEBI_EXT:50241
CHEBI:50242	CHEBI_EXT:50242
CHEBI:50247	CHEBI_EXT:50247
CHEBI:50248	CHEBI_EXT:50248
CHEBI:50249	CHEBI_EXT:50249
CHEBI:50266	CHEBI_EXT:50266
CHEBI:50267	CHEBI_EXT:50267
CHEBI:50268	CHEBI_EXT:50268
CHEBI:50269	CHEBI_EXT:50269
CHEBI:50276	CHEBI_EXT:50276
CHEBI:50370	CHEBI_EXT:50370
CHEBI:50382	CHEBI_EXT:50382
CHEBI:50390	CHEBI_EXT:50390
CHEBI:50406	CHEBI_SO_EXT:molecular_probe
CHEBI:50407	CHEBI_EXT:50407
CHEBI:50408	CHEBI_EXT:50408
CHEBI:50409	CHEBI_EXT:50409
CHEBI:50410	CHEBI_EXT:50410
CHEBI:50411	CHEBI_EXT:50411
CHEBI:50412	CHEBI_EXT:50412
CHEBI:50423	CHEBI_EXT:50423
CHEBI:50427	CHEBI_EXT:50427
CHEBI:50433	CHEBI_EXT:50433
CHEBI:50444	CHEBI_EXT:50444
CHEBI:50445	CHEBI_EXT:50445
CHEBI:50469	CHEBI_EXT:50469
CHEBI:50502	CHEBI_EXT:50502
CHEBI:50503	CHEBI_EXT:50503
CHEBI:50504	CHEBI_EXT:50504
CHEBI:50505	CHEBI_EXT:50505
CHEBI:50507	CHEBI_EXT:50507
CHEBI:50509	CHEBI_EXT:50509
CHEBI:50510	CHEBI_EXT:50510
CHEBI:50513	CHEBI_EXT:50513
CHEBI:50514	CHEBI_EXT:50514
CHEBI:50533	CHEBI_EXT:50533
CHEBI:50562	CHEBI_EXT:tartrate
CHEBI:50566	CHEBI_EXT:50566
CHEBI:50568	CHEBI_EXT:50568
CHEBI:50627	CHEBI_EXT:50627
CHEBI:50629	CHEBI_EXT:50629
CHEBI:50630	CHEBI_EXT:50630
CHEBI:50635	CHEBI_EXT:50635
CHEBI:50643	CHEBI_EXT:50643
CHEBI:50646	CHEBI_EXT:50646
CHEBI:50664	CHEBI_EXT:50664
CHEBI:50671	CHEBI_EXT:50671
CHEBI:50683	CHEBI_EXT:50683
CHEBI:50684	CHEBI_EXT:50684
CHEBI:50685	CHEBI_EXT:50685
CHEBI:50689	CHEBI_EXT:50689
CHEBI:50691	CHEBI_EXT:50691
CHEBI:50696	CHEBI_EXT:50696
CHEBI:50733	CHEBI_EXT:50733
CHEBI:50739	CHEBI_EXT:50739
CHEBI:50741	CHEBI_EXT:50741
CHEBI:50745	CHEBI_EXT:50745
CHEBI:50748	CHEBI_EXT:50748
CHEBI:50750	CHEBI_EXT:50750
CHEBI:50751	CHEBI_EXT:50751
CHEBI:50779	CHEBI_EXT:50779
CHEBI:50780	CHEBI_EXT:50780
CHEBI:50781	CHEBI_EXT:50781
CHEBI:50788	CHEBI_EXT:50788
CHEBI:50790	CHEBI_EXT:50790
CHEBI:50792	CHEBI_EXT:50792
CHEBI:50827	CHEBI_EXT:50827
CHEBI:50837	CHEBI_EXT:50837
CHEBI:50843	CHEBI_EXT:50843
CHEBI:50844	CHEBI_EXT:50844
CHEBI:50846	CHEBI_EXT:50846
CHEBI:50847	CHEBI_EXT:50847
CHEBI:50855	CHEBI_EXT:50855
CHEBI:50857	CHEBI_EXT:50857
CHEBI:50864	CHEBI_EXT:50864
CHEBI:50902	CHEBI_EXT:50902
CHEBI:50903	CHEBI_EXT:50903
CHEBI:50904	CHEBI_EXT:50904
CHEBI:50905	CHEBI_EXT:50905
CHEBI:50906
CHEBI:50907	CHEBI_EXT:50907
CHEBI:50908	CHEBI_EXT:50908
CHEBI:50909	CHEBI_EXT:50909
CHEBI:50910	CHEBI_EXT:50910
CHEBI:50912	CHEBI_EXT:50912
CHEBI:50913	CHEBI_EXT:50913
CHEBI:50914	CHEBI_EXT:50914
CHEBI:50916	CHEBI_EXT:50916
CHEBI:50919	CHEBI_EXT:50919
CHEBI:50925	CHEBI_EXT:50925
CHEBI:50926	CHEBI_EXT:50926
CHEBI:50927	CHEBI_EXT:50927
CHEBI:50949	CHEBI_EXT:50949
CHEBI:51039	CHEBI_EXT:51039
CHEBI:51060	CHEBI_EXT:51060
CHEBI:51061	CHEBI_EXT:51061
CHEBI:51065	CHEBI_EXT:51065
CHEBI:51068	CHEBI_EXT:51068
CHEBI:51076	CHEBI_EXT:51076
CHEBI:51086	CHEBI_EXT:51086
CHEBI:51087	CHEBI_EXT:51087
CHEBI:51121	CHEBI_EXT:51121
CHEBI:51134	CHEBI_EXT:acrylic
CHEBI:51166	CHEBI_EXT:51166
CHEBI:51177	CHEBI_EXT:51177
CHEBI:51217	CHEBI_EXT:51217
CHEBI:51237	CHEBI_EXT:51237
CHEBI:51266	CHEBI_EXT:51266
CHEBI:51267	CHEBI_EXT:51267
CHEBI:51268	CHEBI_EXT:51268
CHEBI:51371	CHEBI_EXT:51371
CHEBI:51372	CHEBI_EXT:51372
CHEBI:51373	CHEBI_EXT:51373
